Code 2019 Only,Questions in 2019,Changes from 2016-2019 and Additional Notes,Code 2016 Only,Questions in 2016,Code 2012 Only,Questions in 2012,Code 2010 Only,Questions in 2010,Changes from 2010-2012,Code 2007 Only,Questions in 2007,Changes from 2007-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSACU02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency- Acupuncture",AINSACU02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency- Acupuncture",,,added questions in 2012,Q12A2,"Regulation, inspection and/or licensing activities - Acupuncture - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11A2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Acupuncture",deleted in 2012,Q12A4,"Regulation, inspection and/or licensing activities - Acupuncture -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11A3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Acupuncture",deleted in 2012,Q12A5,"Regulation, inspection and/or licensing activities - Acupuncture - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11A4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Acupuncture",deleted in 2012,Q12A6,"Regulation, inspection and/or licensing activities - Acupuncture - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11A5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Acupuncture",deleted in 2012,Q12A7,"Regulation, inspection and/or licensing activities - Acupuncture -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11A6_2510,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Acupuncture",deleted in 2012,Q12A3,"Regulation, inspection and/or licensing activities - Acupuncture - Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12A8,"Regulation, inspection and/or licensing activities - Acupuncture -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSASL01,"Regulation, inspection and/or licensing activities -Assisted Living - Performed by state public health agency directly or via contract",Data is available for states only. ,AINSASL01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly- Assisted Living",AINSASL01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly- Assisted Living",B11B1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency- Assisted Living","response option in 2012 added ""directly""",Q12B1,"Regulation, inspection and/or licensing activities - Assisted living - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSASL02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency- Assisted Living",AINSASL02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency- Assisted Living",,,added questions in 2012,Q12B2,"Regulation, inspection and/or licensing activities - Assisted living - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11B2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Assisted Living",deleted in 2012,Q12B4,"Regulation, inspection and/or licensing activities - Assisted living -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11B3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Assisted Living",deleted in 2012,Q12B5,"Regulation, inspection and/or licensing activities - Assisted living - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11B4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Assisted Living",deleted in 2012,Q12B6,"Regulation, inspection and/or licensing activities - Assisted living - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11B5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Assisted Living",deleted in 2012,Q12B7,"Regulation, inspection and/or licensing activities - Assisted living -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11B6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Assisted Living",deleted in 2012,Q12B3,"Regulation, inspection and/or licensing activities - Assisted living - Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12B8,"Regulation, inspection and/or licensing activities - Assisted living -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSBCH01,"Regulation, inspection and/or licensing activities - Beaches - Performed by state/territorial public health agency directly or via contract",This data was taken from the 2019 Environmental Health Services Survey. ,AINSBCH01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly- Beaches",AINSBCH01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly- Beaches",B11C1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency- Beaches","response option in 2012 added ""directly""",Q12C1,"Regulation, inspection and/or licensing activities - Beaches - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSBCH02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency- Beaches",AINSBCH02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency- Beaches",,,added questions in 2012,Q12C2,"Regulation, inspection and/or licensing activities -Beaches - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11C2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Beaches",deleted in 2012,Q12C4,"Regulation, inspection and/or licensing activities -Beaches -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11C3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Beaches",deleted in 2012,Q12C5,"Regulation, inspection and/or licensing activities - Beaches - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11C4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Beaches",deleted in 2012,Q12C6,"Regulation, inspection and/or licensing activities - Beaches - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11C5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Beaches",deleted in 2012,Q12C7,"Regulation, inspection and/or licensing activities - Beaches -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11C6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Beaches",deleted in 2012,Q12C3,"Regulation, inspection and/or licensing activities - Beaches - Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12C8,"Regulation, inspection and/or licensing activities - Beaches -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSBMW01,"Regulation, inspection and/or licensing activities -Biomedical Waste - Performed by state/territorial public health agency directly or via contract",This data was taken from the 2019 Environmental Health Services Survey. ,AINSBMW01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly- Biomedical Waste",AINSBMW01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly- Biomedical Waste",B11D1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency- Bio Medical Waste","response option in 2012 added ""directly""",Q12D1,"Regulation, inspection and/or licensing activities - Biomedical waste - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSBMW02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency- Biomedical Waste",AINSBMW02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency- Biomedical Waste",,,added questions in 2012,Q12D2,"Regulation, inspection and/or licensing activities - Biomedical waste - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11D2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Bio Medical Waste",deleted in 2012,Q12D4,"Regulation, inspection and/or licensing activities - Biomedical waste -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11D3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Bio Medical Waste",deleted in 2012,Q12D5,"Regulation, inspection and/or licensing activities - Biomedical waste - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11D4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Bio Medical Waste",deleted in 2012,Q12D6,"Regulation, inspection and/or licensing activities - Biomedical waste - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11D5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Bio Medical Waste",deleted in 2012,Q12D7,"Regulation, inspection and/or licensing activities - Biomedical waste -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11D6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Bio Medical Waste",deleted in 2012,Q12D3,"Regulation, inspection and/or licensing activities - Biomedical waste - Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12D8,"Regulation, inspection and/or licensing activities - Biomedical waste -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSBPT01,"Regulation, inspection and/or licensing activities - Body Piercing and Tattoo - Performed by state/territorial public health agency directly or via contract",This data was taken from the 2019 Environmental Health Services Survey. ,AINSBPT01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly- Body Piercing/tattooing",AINSBPT01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly- Body Piercing/tattooing",B11E1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency- Body Piercing/tattoing","response option in 2012 added ""directly""",Q12E1,"Regulation, inspection and/or licensing activities - Body piercing/ tattoing - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSBPT02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency- Body Piercing/tattooing",AINSBPT02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency- Body Piercing/tattooing",,,added questions in 2012,Q12E2,"Regulation, inspection and/or licensing activities - Body piercing/ tattoing - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11E2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Body Piercing/tattoing",deleted in 2012,Q12E4,"Regulation, inspection and/or licensing activities - Body piercing/ tattoing -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11E3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Body Piercing/tattoing",deleted in 2012,Q12E5,"Regulation, inspection and/or licensing activities -Body piercing/ tattoing - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11E4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Body Piercing/tattoing",deleted in 2012,Q12E6,"Regulation, inspection and/or licensing activities - Body piercing/ tattoing - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11E5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Body Piercing/tattoing",deleted in 2012,Q12E7,"Regulation, inspection and/or licensing activities -Body piercing/ tattoing -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11E6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Body Piercing/tattoing",deleted in 2012,Q12E3,"Regulation, inspection and/or licensing activities - Body piercing/ tattoing - Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12E8,"Regulation, inspection and/or licensing activities - Body piercing/ tattoing -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSCRV01,"Regulation, inspection and/or licensing activities - Campgrounds & RVs - Performed by state public health agency directly or via contract",Data is available for states only.,AINSCRV01,"Regulation, inspection and/or licensing activities - Performed by state/territorial public health agency directly - Campgrounds & RVs",AINSCRV01,"Regulation, inspection and/or licensing activities - Performed by state/territorial public health agency directly - Campgrounds & RVs",B11F1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency- Campgrounds & RVs","response option in 2012 added ""directly""",Q12F1,"Regulation, inspection and/or licensing activities - Campgrounds & RVs - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSCRV02,"Regulation, inspection and/or licensing activities - Contracted out by state/territorial public health agency - Campgrounds & RVs",AINSCRV02,"Regulation, inspection and/or licensing activities - Contracted out by state/territorial public health agency - Campgrounds & RVs",,,added questions in 2012,Q12F2,"Regulation, inspection and/or licensing activities - Campgrounds & RVs - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11F2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Campgrounds & RVs",deleted in 2012,Q12F4,"Regulation, inspection and/or licensing activities - Campgrounds & RVs -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11F3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Campgrounds & RVs",deleted in 2012,Q12F5,"Regulation, inspection and/or licensing activities - Campgrounds & RVs - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11F4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Campgrounds & RVs",deleted in 2012,Q12F6,"Regulation, inspection and/or licensing activities - Campgrounds & RVs - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11F5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Campgrounds & RVs",deleted in 2012,Q12F7,"Regulation, inspection and/or licensing activities - Campgrounds & RVs -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11F6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Campgrounds & RVs",deleted in 2012,Q12F3,"Regulation, inspection and/or licensing activities -Campgrounds & RVs - Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12F8,"Regulation, inspection and/or licensing activities - Campgrounds & RVs -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSCCF01,"Regulation, inspection and/or licensing activities- Childcare facilities -Performed by state/territorial public health agency directly or via contract",,AINSCCF01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly - Childcare facilities",AINSCCF01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly - Childcare facilities",B11G1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency-Childcare facilities","response option in 2012 added ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSCCF02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency - Childcare facilities",AINSCCF02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency - Childcare facilities",,,added questions in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11G2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Childcare facilities",deleted in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11G3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Childcare facilities",deleted in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11G4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Childcare facilities",deleted in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11G5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Childcare facilities",deleted in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11G6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Childcare facilities",deleted in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSCLN01,"Regulation, inspection and/or licensing activities - Clinics - Performed by state/territorial public health agency directly or via contract",,AINSCLN01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Clinics",AINSCLN01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Clinics",B11H1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency-Clinics","response option in 2012 added ""directly""",Q12G1,"Regulation, inspection and/or licensing activities - Clinics - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSCLN02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Clinics",AINSCLN02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Clinics",,,added questions in 2012,Q12G2,"Regulation, inspection and/or licensing activities - Clinics - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11H2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Clinics",deleted in 2012,Q12G4,"Regulation, inspection and/or licensing activities - Clinics -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11H3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Clinics",deleted in 2012,Q12G5,"Regulation, inspection and/or licensing activities - Clinics - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11H4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Clinics",deleted in 2012,Q12G6,"Regulation, inspection and/or licensing activities - Clinics - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11H5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Clinics",deleted in 2012,Q12G7,"Regulation, inspection and/or licensing activities - Clinics -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11H6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Clinics",deleted in 2012,Q12G3,"Regulation, inspection and/or licensing activities - Clinics - Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12G8,"Regulation, inspection and/or licensing activities - Clinics -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSCOS01,"Regulation, inspection and/or licensing activities - Cosmetology - Performed by state/territorial public health agency directly or via contract",This data was taken from the 2019 Environmental Health Services Survey. ,AINSCOS01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Cosmetology businesses",AINSCOS01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Cosmetology businesses",B11J1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency -Cosmetology businesses","response option in 2012 added ""directly""",Q12H1,"Regulation, inspection and/or licensing activities - Cosmetology businesses - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSCOS02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Cosmetology businesses",AINSCOS02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Cosmetology businesses",,,added questions in 2012,Q12H2,"Regulation, inspection and/or licensing activities - Cosmetology businesses - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11J2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Cosmetology businesses",deleted in 2012,Q12H4,"Regulation, inspection and/or licensing activities - Cosmetology businesses -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11J3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Cosmetology businesses",deleted in 2012,Q12H5,"Regulation, inspection and/or licensing activities - Cosmetology businesses - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11J4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Cosmetology businesses",deleted in 2012,Q12H6,"Regulation, inspection and/or licensing activities - Cosmetology businesses - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11J5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Cosmetology businesses",deleted in 2012,Q12H7,"Regulation, inspection and/or licensing activities - Cosmetology businesses -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11J6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Cosmetology businesses",deleted in 2012,Q12H3,"Regulation, inspection and/or licensing activities - Cosmetology businesses- Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12H8,"Regulation, inspection and/or licensing activities -Cosmetology businesses -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSEMS01,"Regulation, inspection and/or licensing activities - Emergency Medical Services - Performed by state/territorial public health agency directly or via contract",,AINSEMS01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Emergency Medical Services",AINSEMS01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Emergency Medical Services",B11K1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency -Emergency Medical Services","response option in 2012 added ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSEMS02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Emergency Medical Services",AINSEMS02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Emergency Medical Services",,,added questions in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11K2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Emergency Medical Services",deleted in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11K3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Emergency Medical Services",deleted in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11K4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Emergency Medical Services",deleted in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11K5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Emergency Medical Services",deleted in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11K6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Emergency Medical Services",deleted in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSFPR01,"Regulation, inspection and/or licensing activities - Food processing -Performed by state/territorial public health agency directly or via contract",This data was taken from the 2019 Environmental Health Services Survey. ,AINSFPR01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Food processing",AINSFPR01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Food processing",B11L1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency-Food processing","response option in 2012 added ""directly""",Q12I1,"Regulation, inspection and/or licensing activities - Food processing - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSFPR02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Food processing",AINSFPR02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Food processing",,,added questions in 2012,Q12I2,"Regulation, inspection and/or licensing activities - Food processing - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11L2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Food processing",deleted in 2012,Q12I4,"Regulation, inspection and/or licensing activities -Food processing -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11L3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Food processing",deleted in 2012,Q12I5,"Regulation, inspection and/or licensing activities - Food processing - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11L4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Food processing",deleted in 2012,Q12I6,"Regulation, inspection and/or licensing activities - Food processing - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11L5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Food processing",deleted in 2012,Q12I7,"Regulation, inspection and/or licensing activities - Food processing -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
